#freq (Hz),Impedance (Ohm)
1.000E6,15.92
1.023E6,15.55
1.047E6,15.20
1.072E6,14.85
1.096E6,14.51
1.122E6,14.18
1.148E6,13.86
1.175E6,13.55
1.202E6,13.24
1.230E6,12.94
1.259E6,12.64
1.288E6,12.35
1.318E6,12.07
1.349E6,11.80
1.380E6,11.53
1.413E6,11.27
1.445E6,11.01
1.479E6,10.76
1.514E6,10.51
1.549E6,10.28
1.585E6,10.04
1.622E6,9.813
1.660E6,9.590
1.698E6,9.371
1.738E6,9.158
1.778E6,8.949
1.820E6,8.746
1.862E6,8.547
1.905E6,8.352
1.950E6,8.162
1.995E6,7.976
2.042E6,7.794
2.089E6,7.617
2.138E6,7.444
2.188E6,7.274
2.239E6,7.108
2.291E6,6.947
2.344E6,6.788
2.399E6,6.634
2.455E6,6.483
2.512E6,6.335
2.570E6,6.191
2.630E6,6.050
2.692E6,5.912
2.754E6,5.778
2.818E6,5.646
2.884E6,5.518
2.951E6,5.392
3.020E6,5.269
3.090E6,5.149
3.162E6,5.032
3.236E6,4.917
3.311E6,4.805
3.388E6,4.696
3.467E6,4.589
3.548E6,4.484
3.631E6,4.382
3.715E6,4.283
3.802E6,4.185
3.890E6,4.090
3.981E6,3.997
4.074E6,3.906
4.169E6,3.817
4.266E6,3.730
4.365E6,3.645
4.467E6,3.562
4.571E6,3.481
4.677E6,3.401
4.786E6,3.324
4.898E6,3.248
5.012E6,3.174
5.129E6,3.102
5.248E6,3.031
5.370E6,2.962
5.495E6,2.894
5.623E6,2.828
5.754E6,2.764
5.888E6,2.701
6.026E6,2.639
6.166E6,2.579
6.310E6,2.520
6.457E6,2.463
6.607E6,2.407
6.761E6,2.352
6.918E6,2.298
7.079E6,2.246
7.244E6,2.195
7.413E6,2.145
7.586E6,2.096
7.762E6,2.048
7.943E6,2.001
8.128E6,1.956
8.318E6,1.911
8.511E6,1.867
8.710E6,1.825
8.913E6,1.783
9.120E6,1.742
9.333E6,1.702
9.550E6,1.664
9.772E6,1.626
10.00E6,1.588
10.23E6,1.552
10.47E6,1.517
10.72E6,1.482
10.96E6,1.448
11.22E6,1.415
11.48E6,1.383
11.75E6,1.351
12.02E6,1.320
12.30E6,1.290
12.59E6,1.260
12.88E6,1.231
13.18E6,1.203
13.49E6,1.176
13.80E6,1.149
14.13E6,1.122
14.45E6,1.097
14.79E6,1.071
15.14E6,1.047
15.49E6,1.023
15.85E6,999.3E-3
16.22E6,976.3E-3
16.60E6,953.8E-3
16.98E6,931.9E-3
17.38E6,910.4E-3
17.78E6,889.5E-3
18.20E6,869.0E-3
18.62E6,848.9E-3
19.05E6,829.3E-3
19.50E6,810.2E-3
19.95E6,791.5E-3
20.42E6,773.2E-3
20.89E6,755.3E-3
21.38E6,737.8E-3
21.88E6,720.7E-3
22.39E6,704.0E-3
22.91E6,687.6E-3
23.44E6,671.6E-3
23.99E6,656.0E-3
24.55E6,640.7E-3
25.12E6,625.8E-3
25.70E6,611.2E-3
26.30E6,596.9E-3
26.92E6,582.9E-3
27.54E6,569.3E-3
28.18E6,555.9E-3
28.84E6,542.9E-3
29.51E6,530.1E-3
30.20E6,517.6E-3
30.90E6,505.4E-3
31.62E6,493.5E-3
32.36E6,481.8E-3
33.11E6,470.3E-3
33.88E6,459.2E-3
34.67E6,448.2E-3
35.48E6,437.5E-3
36.31E6,427.1E-3
37.15E6,416.8E-3
38.02E6,406.8E-3
38.90E6,397.0E-3
39.81E6,387.4E-3
40.74E6,378.0E-3
41.69E6,368.8E-3
42.66E6,359.8E-3
43.65E6,351.0E-3
44.67E6,342.4E-3
45.71E6,334.0E-3
46.77E6,325.7E-3
47.86E6,317.6E-3
48.98E6,309.7E-3
50.12E6,302.0E-3
51.29E6,294.4E-3
52.48E6,287.0E-3
53.70E6,279.7E-3
54.95E6,272.5E-3
56.23E6,265.5E-3
57.54E6,258.7E-3
58.88E6,252.0E-3
60.26E6,245.4E-3
61.66E6,239.0E-3
63.10E6,232.6E-3
64.57E6,226.4E-3
66.07E6,220.4E-3
67.61E6,214.4E-3
69.18E6,208.6E-3
70.79E6,202.8E-3
72.44E6,197.2E-3
74.13E6,191.7E-3
75.86E6,186.2E-3
77.62E6,180.9E-3
79.43E6,175.7E-3
81.28E6,170.6E-3
83.18E6,165.5E-3
85.11E6,160.6E-3
87.10E6,155.7E-3
89.13E6,150.9E-3
91.20E6,146.2E-3
93.33E6,141.6E-3
95.50E6,137.0E-3
97.72E6,132.5E-3
100.0E6,128.1E-3
102.3E6,123.8E-3
104.7E6,119.5E-3
107.2E6,115.3E-3
109.6E6,111.2E-3
112.2E6,107.1E-3
114.8E6,103.0E-3
117.5E6,99.06E-3
120.2E6,95.14E-3
123.0E6,91.27E-3
125.9E6,87.44E-3
128.8E6,83.67E-3
131.8E6,79.95E-3
134.9E6,76.26E-3
138.0E6,72.62E-3
141.3E6,69.03E-3
144.5E6,65.47E-3
147.9E6,61.95E-3
151.4E6,58.46E-3
154.9E6,55.02E-3
158.5E6,51.61E-3
162.2E6,48.23E-3
166.0E6,44.89E-3
169.8E6,41.59E-3
173.8E6,38.32E-3
177.8E6,35.09E-3
182.0E6,31.90E-3
186.2E6,28.77E-3
190.5E6,25.69E-3
195.0E6,22.69E-3
199.5E6,19.80E-3
204.2E6,17.05E-3
208.9E6,14.53E-3
213.8E6,12.37E-3
218.8E6,10.78E-3
223.9E6,10.03E-3
229.1E6,10.31E-3
234.4E6,11.54E-3
239.9E6,13.46E-3
245.5E6,15.84E-3
251.2E6,18.49E-3
257.0E6,21.32E-3
263.0E6,24.28E-3
269.2E6,27.32E-3
275.4E6,30.43E-3
281.8E6,33.59E-3
288.4E6,36.80E-3
295.1E6,40.05E-3
302.0E6,43.34E-3
309.0E6,46.67E-3
316.2E6,50.03E-3
323.6E6,53.42E-3
331.1E6,56.85E-3
338.8E6,60.32E-3
346.7E6,63.82E-3
354.8E6,67.36E-3
363.1E6,70.94E-3
371.5E6,74.56E-3
380.2E6,78.22E-3
389.0E6,81.93E-3
398.1E6,85.68E-3
407.4E6,89.47E-3
416.9E6,93.32E-3
426.6E6,97.22E-3
436.5E6,101.2E-3
446.7E6,105.2E-3
457.1E6,109.2E-3
467.7E6,113.4E-3
478.6E6,117.5E-3
489.8E6,121.8E-3
501.2E6,126.1E-3
512.9E6,130.5E-3
524.8E6,134.9E-3
537.0E6,139.4E-3
549.5E6,144.0E-3
562.3E6,148.7E-3
575.4E6,153.4E-3
588.8E6,158.3E-3
602.6E6,163.2E-3
616.6E6,168.2E-3
631.0E6,173.3E-3
645.7E6,178.5E-3
660.7E6,183.7E-3
676.1E6,189.1E-3
691.8E6,194.6E-3
707.9E6,200.2E-3
724.4E6,205.9E-3
741.3E6,211.7E-3
758.6E6,217.6E-3
776.2E6,223.6E-3
794.3E6,229.7E-3
812.8E6,236.0E-3
831.8E6,242.4E-3
851.1E6,248.9E-3
871.0E6,255.5E-3
891.3E6,262.3E-3
912.0E6,269.3E-3
933.3E6,276.3E-3
955.0E6,283.5E-3
977.2E6,290.9E-3
1.000E9,298.4E-3
1.023E9,306.1E-3
1.047E9,313.9E-3
1.072E9,321.9E-3
1.096E9,330.1E-3
1.122E9,338.5E-3
1.148E9,347.0E-3
1.175E9,355.7E-3
1.202E9,364.6E-3
1.230E9,373.7E-3
1.259E9,383.0E-3
1.288E9,392.5E-3
1.318E9,402.2E-3
1.349E9,412.1E-3
1.380E9,422.2E-3
1.413E9,432.6E-3
1.445E9,443.2E-3
1.479E9,454.0E-3
1.514E9,465.1E-3
1.549E9,476.4E-3
1.585E9,488.0E-3
1.622E9,499.8E-3
1.660E9,511.9E-3
1.698E9,524.2E-3
1.738E9,536.9E-3
1.778E9,549.8E-3
1.820E9,563.0E-3
1.862E9,576.5E-3
1.905E9,590.4E-3
1.950E9,604.5E-3
1.995E9,618.9E-3
2.042E9,633.7E-3
2.089E9,648.8E-3
2.138E9,664.3E-3
2.188E9,680.1E-3
2.239E9,696.3E-3
2.291E9,712.8E-3
2.344E9,729.7E-3
2.399E9,747.0E-3
2.455E9,764.8E-3
2.512E9,782.9E-3
2.570E9,801.4E-3
2.630E9,820.3E-3
2.692E9,839.7E-3
2.754E9,859.5E-3
2.818E9,879.8E-3
2.884E9,900.6E-3
2.951E9,921.8E-3
3.020E9,943.5E-3
3.090E9,965.7E-3
3.162E9,988.5E-3
3.236E9,1.012
3.311E9,1.036
3.388E9,1.060
3.467E9,1.085
3.548E9,1.110
